date,time,rmssd,coverage,hf,lf
2024-05-30,2024-05-30T04:35:00.000,43.626,0.885,494.52,786.932
2024-05-30,2024-05-30T04:40:00.000,43.955,0.852,415.351,646.84
2024-05-30,2024-05-30T04:45:00.000,28.509,0.944,232.71,374.133
2024-05-30,2024-05-30T04:50:00.000,26.771,1.005,281.455,415.923
2024-05-30,2024-05-30T04:55:00.000,23.373,1.003,240.044,119.647
2024-05-30,2024-05-30T05:00:00.000,21.569,1.001,209.417,225.587
2024-05-30,2024-05-30T05:05:00.000,20.851,0.997,187.828,111.075
2024-05-30,2024-05-30T05:10:00.000,19.601,1.002,142.873,158.769
2024-05-30,2024-05-30T05:15:00.000,17.111,0.905,119.306,767.886
2024-05-30,2024-05-30T05:20:00.000,13.893,1.002,52.508,201.86
2024-05-30,2024-05-30T05:25:00.000,13.828,1.002,74.695,109.082
2024-05-30,2024-05-30T05:30:00.000,15.863,1.002,88.903,307.0
2024-05-30,2024-05-30T05:35:00.000,17.057,1.004,136.012,431.249
2024-05-30,2024-05-30T05:40:00.000,13.637,0.931,57.254,305.573
2024-05-30,2024-05-30T05:45:00.000,18.504,0.884,76.214,1165.351
2024-05-30,2024-05-30T05:50:00.000,18.221,0.982,132.219,446.324
2024-05-30,2024-05-30T05:55:00.000,11.701,1.002,57.697,171.806
2024-05-30,2024-05-30T06:00:00.000,14.218,0.991,92.068,720.248
2024-05-30,2024-05-30T06:05:00.000,12.876,0.959,42.908,462.609
2024-05-30,2024-05-30T06:10:00.000,15.082,0.994,127.869,340.296
2024-05-30,2024-05-30T06:15:00.000,15.904,1.003,90.064,199.238
2024-05-30,2024-05-30T06:20:00.000,17.575,1.002,147.588,382.036
2024-05-30,2024-05-30T06:25:00.000,16.664,0.908,144.59,749.552
2024-05-30,2024-05-30T06:30:00.000,19.107,1.002,132.968,374.645
2024-05-30,2024-05-30T06:35:00.000,19.362,0.971,121.106,266.87
2024-05-30,2024-05-30T06:40:00.000,20.781,0.911,106.647,762.769
2024-05-30,2024-05-30T06:50:00.000,28.204,0.986,226.574,870.09
2024-05-30,2024-05-30T06:55:00.000,25.331,0.99,218.079,170.507
2024-05-30,2024-05-30T07:00:00.000,27.305,0.934,181.547,389.942
2024-05-30,2024-05-30T07:05:00.000,26.048,0.942,213.749,497.181
2024-05-30,2024-05-30T07:10:00.000,26.623,0.936,137.358,346.294
2024-05-30,2024-05-30T07:15:00.000,34.342,0.898,287.597,1773.853
2024-05-30,2024-05-30T07:20:00.000,34.219,0.947,267.453,548.185
2024-05-30,2024-05-30T07:25:00.000,29.478,0.969,238.847,890.01
2024-05-30,2024-05-30T07:30:00.000,14.711,1.005,49.497,465.18
2024-05-30,2024-05-30T07:35:00.000,25.814,0.862,224.75,533.753
2024-05-30,2024-05-30T07:40:00.000,23.091,0.993,117.499,529.111
2024-05-30,2024-05-30T07:45:00.000,22.637,0.96,176.055,998.954
2024-05-30,2024-05-30T07:50:00.000,22.506,0.902,196.803,438.427
2024-05-30,2024-05-30T07:55:00.000,19.912,1.004,122.93,782.539
2024-05-30,2024-05-30T08:00:00.000,27.146,0.891,228.912,1055.224
2024-05-30,2024-05-30T08:05:00.000,27.615,0.997,305.005,498.647
2024-05-30,2024-05-30T08:10:00.000,24.728,0.917,223.832,506.663
2024-05-30,2024-05-30T08:15:00.000,23.985,0.944,146.935,882.456
2024-05-30,2024-05-30T08:20:00.000,22.685,1.002,258.451,851.889
2024-05-30,2024-05-30T08:25:00.000,22.797,0.96,171.434,483.404
2024-05-30,2024-05-30T08:30:00.000,27.525,0.975,347.438,656.85
2024-05-30,2024-05-30T08:35:00.000,30.026,0.997,467.65,832.877
2024-05-30,2024-05-30T08:40:00.000,27.592,1.005,340.44,718.02
2024-05-30,2024-05-30T08:45:00.000,28.184,0.979,354.262,615.996
2024-05-30,2024-05-30T08:50:00.000,32.059,0.987,322.017,449.206
2024-05-30,2024-05-30T08:55:00.000,25.674,1.003,191.38,333.82
2024-05-30,2024-05-30T09:00:00.000,25.964,1.004,204.444,336.627
2024-05-30,2024-05-30T09:05:00.000,31.938,1.002,372.937,324.168
2024-05-30,2024-05-30T09:10:00.000,32.791,1.004,374.094,410.651
2024-05-30,2024-05-30T09:15:00.000,37.394,0.934,377.032,421.676
2024-05-31,2024-05-31T03:00:00.000,30.883,0.926,322.854,738.416
2024-05-31,2024-05-31T03:05:00.000,31.198,0.986,460.066,423.642
2024-05-31,2024-05-31T03:10:00.000,30.612,0.832,187.068,903.09
2024-05-31,2024-05-31T03:15:00.000,25.313,0.879,161.401,236.084
2024-05-31,2024-05-31T03:20:00.000,21.275,1.003,121.225,227.555
2024-05-31,2024-05-31T03:25:00.000,27.094,0.967,220.593,587.688
2024-05-31,2024-05-31T03:30:00.000,23.17,1.002,179.228,401.972
2024-05-31,2024-05-31T03:35:00.000,19.859,1.003,132.621,224.411
2024-05-31,2024-05-31T03:40:00.000,22.712,0.95,129.649,785.085
2024-05-31,2024-05-31T03:45:00.000,26.108,0.925,144.062,1970.492
2024-05-31,2024-05-31T03:50:00.000,24.913,1.004,221.484,378.39
2024-05-31,2024-05-31T03:55:00.000,22.268,1.002,146.351,415.244
2024-05-31,2024-05-31T04:00:00.000,21.465,0.961,132.618,335.85
2024-05-31,2024-05-31T04:05:00.000,16.668,1.002,121.129,291.38
2024-05-31,2024-05-31T04:10:00.000,16.163,0.932,81.524,564.133
2024-05-31,2024-05-31T04:15:00.000,23.021,0.782,77.443,853.447
