date,time,rmssd (ms),coverage,hf,lf
2024-06-25,03:05,34.12,0.933,333.922,426.356
2024-06-25,03:10,26.316,0.965,213.497,184.656
2024-06-25,03:15,48.772,0.97,471.637,350.572
2024-06-25,03:20,24.521,0.941,214.28,272.351
2024-06-25,03:25,28.681,0.963,277.954,910.143
2024-06-25,03:30,32.207,0.95,294.398,497.262
2024-06-25,03:35,35.054,0.983,482.708,1370.022
2024-06-25,03:40,31.206,1.004,358.739,325.704
2024-06-25,03:45,30.231,1.001,226.837,591.203
2024-06-25,03:50,31.392,1.006,244.989,593.467
2024-06-25,03:55,34.973,0.936,323.239,470.62
2024-06-25,04:00,35.382,1.003,333.831,827.325
2024-06-25,04:05,35.684,0.995,353.74,498.235
2024-06-25,04:10,35.271,0.893,415.295,409.326
2024-06-25,04:15,27.946,0.868,227.577,937.13
2024-06-25,04:20,21.139,0.992,152.83,314.437
2024-06-25,04:25,20.509,0.964,128.416,1367.769
2024-06-25,04:30,18.853,0.992,152.07,594.61
2024-06-25,04:35,21.834,1.004,121.346,206.739
2024-06-25,04:40,23.494,0.994,183.303,694.972
2024-06-25,04:45,23.935,1.004,167.688,1104.229
2024-06-25,04:50,14.143,1.004,48.901,301.231
2024-06-25,04:55,12.491,1.001,48.987,369.046
2024-06-25,05:00,15.305,0.982,74.752,183.93
2024-06-25,05:05,18.641,0.97,82.084,279.708
2024-06-25,05:10,17.332,0.971,59.395,340.277
2024-06-25,05:15,19.611,0.989,113.966,1019.024
2024-06-25,05:20,22.626,0.992,91.155,261.158
2024-06-25,05:25,17.063,1.0,70.55,245.318
2024-06-25,05:30,22.154,1.003,148.39,348.335
2024-06-25,05:35,28.081,1.004,251.636,517.798
2024-06-25,05:40,32.403,1.004,315.485,405.82
2024-06-25,05:45,33.066,1.004,304.061,548.289
2024-06-25,05:50,38.233,1.004,402.099,542.38
2024-06-25,05:55,36.546,1.001,334.819,426.065
2024-06-25,06:00,34.377,1.004,370.279,348.375
2024-06-25,06:05,30.739,1.004,289.083,440.767
2024-06-25,06:10,39.742,0.994,383.433,347.156
2024-06-25,06:15,34.944,1.003,322.821,426.453
2024-06-25,06:20,40.793,0.967,472.847,417.746
2024-06-25,06:25,38.473,0.936,370.647,558.507
2024-06-25,06:30,46.059,1.004,602.401,1818.208
2024-06-25,06:35,27.537,1.001,212.542,489.247
2024-06-25,06:40,24.85,0.995,163.287,472.655
2024-06-25,06:45,23.364,1.003,186.578,453.723
2024-06-25,06:50,26.521,0.976,153.787,794.969
2024-06-25,06:55,29.89,1.002,268.49,1199.058
2024-06-25,07:00,37.489,1.005,413.723,785.734
2024-06-25,07:05,35.99,0.926,352.001,1220.567
2024-06-25,07:10,38.464,1.005,463.281,558.27
2024-06-25,07:15,34.659,0.932,324.285,535.364
2024-06-25,07:20,35.937,1.003,366.487,586.054
2024-06-25,07:25,38.36,1.004,453.611,354.902
2024-06-25,07:30,39.679,1.002,473.156,343.885
2024-06-25,07:35,36.405,0.87,314.988,992.36
2024-06-25,07:40,37.573,1.0,373.953,797.12
2024-06-25,07:45,38.2,0.995,382.957,735.77
2024-06-25,07:50,25.011,1.005,214.941,458.41
2024-06-25,07:55,31.666,0.957,433.869,940.224
2024-06-25,08:00,23.072,1.002,122.421,582.296
2024-06-25,08:05,31.609,0.956,291.882,2067.023
2024-06-25,08:10,30.825,1.003,308.506,1533.032
2024-06-25,08:15,36.222,0.933,323.089,734.112
